Link1,Link2,Link3,Link4,Link5,Link6,Link7,Link8,Link9,Link10,Link11,Link12
180,360,360,0,180,0,360,0,0,180,540,540
0,180,360,360,0,180,0,180,0,0,540,720
180,0,0,180,360,0,180,1260,540,0,540,180
0,180,0,180,360,180,0,540,540,540,0,180
0,0,180,0,0,180,180,180,1260,900,540,180
0,0,0,180,0,0,180,180,180,360,540,360
0,0,0,0,180,0,0,180,180,540,540,900
0,0,0,0,0,0,0,180,180,180,900,360
720,0,0,0,0,0,0,0,180,180,180,540
180,720,360,0,0,0,0,360,0,180,180,180
180,180,360,360,0,0,0,360,360,0,360,180
180,360,180,360,540,0,0,0,360,360,360,180
180,180,360,360,360,540,180,0,0,360,540,360
0,0,180,0,180,180,360,180,0,0,540,180
