Link1,Link2,Link3,Link4,Link5,Link6,Link7,Link8,Link9,Link10,Link11,Link12
11.53846154,2.045454545,2.432432432,4.5,3.658536585,1.643835616,4.556962025,8,4.444444444,4.736842105,2.75862069,6.176470588
4.04494382,18,3.47826087,1.395348837,3.703703704,3.037974684,1.011235955,6.176470588,5.833333333,4.137931034,5.106382979,4.47761194
0,7.03125,7.164179104,1.538461538,1.411764706,2.168674699,6.06741573,2.903225806,5.526315789,6.315789474,6.486486486,5.538461538
2.093023256,0,0.769230769,11.25,1.276595745,1.395348837,1.8,5.806451613,2.432432432,3.448275862,3.333333333,6.76056338
1.855670103,11.84210526,0.697674419,2.307692308,6.923076923,0.582524272,1.111111111,5.625,4.109589041,2.307692308,4.615384615,7.619047619
2.934782609,0.947368421,2.432432432,0.722891566,0.882352941,4.186046512,4.444444444,4.137931034,4.5,4.235294118,1.875,10.90909091
2.967032967,11.73913043,0,1.578947368,0.625,0.882352941,3.461538462,4.838709677,3.243243243,4.675324675,4,3.636363636
4.235294118,9.230769231,5.070422535,0.810810811,2.278481013,0.652173913,2.117647059,4.761904762,4.166666667,1.263157895,3.829787234,6.486486486
7.5,5.4,1.621621622,1.481481481,0.571428571,2.117647059,1.097560976,7.368421053,2.926829268,5.384615385,3.076923077,11.25
1.232876712,9.152542373,4.411764706,6,2.168674699,0.560747664,2.222222222,3.050847458,5.142857143,2.727272727,6,0
3.698630137,1.40625,3.529411765,2.465753425,3.287671233,2.168674699,2,2.769230769,2.368421053,4.5,4.864864865,10.47619048
6.081081081,5.4,2.647058824,5.625,2.168674699,2.647058824,2.168674699,4.6875,2.637362637,3,4.918032787,2.903225806
4.891304348,7.058823529,1.071428571,1.666666667,5.294117647,0.759493671,2.168674699,7.24137931,4.166666667,1.764705882,3.076923077,8.727272727
3.050847458,9.72972973,6.666666667,1.818181818,1.666666667,1.518987342,2.571428571,2.647058824,4.186046512,1.914893617,4.186046512,4.054054054
1.914893617,3.103448276,3.050847458,3.287671233,1.739130435,0.779220779,2.278481013,2.8125,3.116883117,5.517241379,3.870967742,2.368421053
3.033707865,4.21875,3.428571429,3.692307692,6,0.779220779,1.046511628,3.582089552,1.621621622,2.926829268,2.4,6.666666667
5.625,6.101694915,0.869565217,0.983606557,3.157894737,3.037974684,1.153846154,5.555555556,3.076923077,1.348314607,3.333333333,6.268656716
3.139534884,10.58823529,4.225352113,2.686567164,1.714285714,0.857142857,4.235294118,1.621621622,4.615384615,2.857142857,3.2,3.428571429
6.545454545,5.4,3.47826087,2.432432432,2.465753425,1.052631579,1.111111111,4.363636364,2.368421053,2.962962963,1.621621622,4.931506849
0.97826087,7.826086957,3.75,5.294117647,2.168674699,0.714285714,1.384615385,5.538461538,1.739130435,2.432432432,1.914893617,3.582089552
5,1.475409836,0.869565217,1.714285714,4.225352113,1.481481481,0.97826087,2.432432432,6.76056338,1.538461538,1.791044776,5.217391304
0.9375,11.45454545,3.80952381,3.47826087,1.578947368,1.395348837,3,2.033898305,3.037974684,7.5,1.904761905,1.791044776
4.153846154,4.285714286,4.411764706,1.764705882,2.4,2.142857143,0.9375,8.888888889,0.75,1.132075472,3.636363636,4.210526316
1.168831169,1.285714286,0.895522388,6.363636364,1.463414634,0.845070423,3.214285714,4.210526316,8.181818182,1.395348837,2.033898305,9.523809524
7.078651685,6.206896552,0.857142857,0.857142857,11.1627907,0.674157303,1.153846154,3.692307692,4,5.316455696,4.210526316,1.967213115
4.285714286,9.183673469,3.80952381,0.857142857,0.833333333,1.428571429,1.935483871,5.901639344,2.195121951,5.384615385,4.47761194,4.864864865
3.6,5.192307692,7,2.4,0.810810811,0,1.097560976,7.636363636,4.736842105,2.02247191,3.050847458,6.101694915
3.176470588,4.090909091,2.8125,7.5,2.093023256,0,0,4,4.864864865,4.090909091,1.643835616,6.666666667
3,8,2.769230769,2.465753425,4.675324675,2.093023256,0.97826087,2.950819672,4.054054054,2.696629213,3.636363636,5.833333333
2.278481013,4.390243902,3.333333333,2.647058824,2.4,2.857142857,2.755102041,3.050847458,2.307692308,5.185185185,2.368421053,4.411764706
4.655172414,4.285714286,0.869565217,4.166666667,4.137931034,1.6,4.090909091,4.47761194,1.538461538,2.278481013,3.2,2.950819672
3.103448276,11.73913043,2.068965517,1.621621622,2.926829268,0.540540541,2.5,8.571428571,4.736842105,1.304347826,4.675324675,4.615384615
6.136363636,4.655172414,2.857142857,1.714285714,1.739130435,1.578947368,0.652173913,3.692307692,5.675675676,3.913043478,5.806451613,6.774193548
5.23255814,9,5.454545455,2.857142857,0.740740741,0.789473684,2.25,7.5,2.25,5.647058824,5.142857143,7.868852459
5.625,7.659574468,4.864864865,1.395348837,3.692307692,0.722891566,1.956521739,2.903225806,6.075949367,1.538461538,4.918032787,5.373134328
3.214285714,9.782608696,2.727272727,8.333333333,2.195121951,2.535211268,0,8.571428571,3,5.333333333,1.428571429,7.868852459
4.945054945,4.909090909,3.636363636,1.578947368,7.5,2.168674699,3.6,1.666666667,4.545454545,2.857142857,2.222222222,6.268656716
1.111111111,5.696202532,3.428571429,4.054054054,1.578947368,3.846153846,4.337349398,0.714285714,2.686567164,3.037974684,3.157894737,4.285714286
5.769230769,1.40625,2.950819672,3.846153846,3.243243243,0.845070423,4.137931034,4.545454545,0.705882353,3.2,1.935483871,3.428571429
